TFF Match ID,Tarih,Organizasyon,Hakem ID,Hakem,AR1 ID,AR1,AR2 ID,AR2,Dort ID,Dorduncu Hakem,Stad,Ev,Ev ID,Deplasman,Deplasman ID,Ev skor,Deplasman skor
"1004,2006-11-01 13:30:00,Lig B Kademe (Profesyonel Takım),17960,METİN KIR,17774,HASAN KÖLEMEN,20747,KAHRAMAN MİNNET,19531,VEDAT ATAMAN,52,18 MART,137,DARDANELSPOR A.Ş.,131,İNEGÖLSPOR,2,1"
"1002,2006-10-30 18:00:00,Türk Telekom  Lig  A (Profesyonel Takım),18902,SİNAN CEM İYİHUYLU,19963,ÖMER FARUK YEŞİL,20144,MUSTAFA SÖNMEZ,19021,İLKER MERAL,110,ATATÜRK OLİMPİYAT,3665,BÜYÜKŞEHİR BLD.SPOR,132,KOCAELİSPOR,2,1"
"1005,2006-11-01 13:30:00,Lig B Kademe (Profesyonel Takım),19928,ÖZGÜR SEPİN,18958,ŞENOL ERSOY,20887,BARAN ERASLAN,20259,KUTLUHAN BİLGİÇ,201,YALOVA ATATÜRK,3589,YALOVASPOR,3659,KÜÇÜKKÖYSPOR,1,3"
"1006,2006-11-01 13:30:00,Lig B Kademe (Profesyonel Takım),20132,SERKAN VAROL,20565,SEYİTHAN TURHAN,19158,FERZENDE EMRE,19709,KORAY TAN,12,ANKARA OSTİM,5,ETİMESGUT ŞEKERSPOR A.Ş.,3610,EYÜPSPOR,3,0"
"1009,2006-11-02 13:30:00,Lig B Kademe (Profesyonel Takım),20291,SERKAN ERGÜN,19521,GÖKHAN YAVUZ,20442,OKTAY ÖNGE,20294,SERHAD ÜRKMEZ,112,BUCA İLÇE,109,BUCASPOR,59,MARMARİS BLD.GENÇLİKSPOR,3,1"
"1007,2006-11-01 13:30:00,Lig B Kademe (Profesyonel Takım),18870,SACİT KEŞKEK,19973,MEHMET AYBERK ALTUNAY,20799,VOLKAN PANGAL,20113,ARDA ÖZYILDIRIM,95,MİMAR YAHYA BAŞ,3618,GÜNGÖREN BELEDİYESPOR,3611,F.KARAGÜMRÜK,1,0"
"1010,2006-11-02 13:30:00,Lig B Kademe (Profesyonel Takım),19381,MESUT CARIK,19630,MEHMET GONCA,20865,OKTAY TAŞ,20417,ÖNDER YILMAZ,149,MUĞLA ATATÜRK,82,MUĞLASPOR,107,İZMİRSPOR,1,0"
"1008,2006-11-01 13:30:00,Lig B Kademe (Profesyonel Takım),19149,MUSTAFA YILMAZ,19761,İDRİS DAĞLI,20458,MEHMET ÖZÇALIŞKAN,19678,DENİZ DEVECİ,48,OYAK RENAULT STADI,3922,OYAK RENAULTSPOR,3602,SARIYER,1,2"
