TFF Match ID,Tarih,Organizasyon,Hakem ID,Hakem,AR1 ID,AR1,AR2 ID,AR2,Dort ID,Dorduncu Hakem,Stad,Ev,Ev ID,Deplasman,Deplasman ID,Ev skor,Deplasman skor
"268,2006-10-07 15:00:00,Paf Ligi (PAF Takımı),19622,İBRAHİM TELCİ,20095,SEFA HUYLU,20666,KERİM UZUN,[],,158,RİZESPOR TESİSLERİ,3631,ÇAYKUR RİZESPOR,3601,BURSASPOR,-1,-1"
"269,2006-10-07 15:00:00,Paf Ligi (PAF Takımı),20924,İLHAN AKŞAKAR,19866,ENGİN NURKAYA,20925,İBRAHİM MENGÜBETİ,[],,159,SAKARYA ATATÜRK,3594,SAKARYASPOR A.Ş.,3592,FENERBAHÇE,1,1"
"267,2006-10-07 11:00:00,Paf Ligi (PAF Takımı),18850,GÖKHAN MEMİŞOĞLU,20979,ONUR ŞİRİN,20978,FATİH YILMAZ,[],,181,TRABZONSPOR TESİSLER,3596,TRABZONSPOR A.Ş.,81,DENİZLİSPOR,3,0"
